aclnn_api,mindspore,pyboost,kbk,kernel_mod_src,pyboost_src,kernel_mod_gen,pyboost_gen,evidence,via_ops,via_kernel_mod_src,via_pyboost_src,via_kernel_mod_gen,via_pyboost_gen,custom_dispatch_ops,custom_dispatch_names,direct_match,suspected_fusion,cpp_funcs,kernel_mod_files,pyboost_files,remarks
aclnnNLLLoss2dBackward,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,NLLLoss2dGrad,NLLLoss2dGrad,,,,,,,True,NLLLoss2dGradAclnnKernelMod,kernel_mod_impl/customize/nllloss_2d_grad_aclnn_kernel.cc;kernel_mod_impl/customize/nllloss_2d_grad_aclnn_kernel.h,,
aclnnNLLLossBackward,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,NLLLossGrad,NLLLossGrad,,,,,,,True,NLLLossGradAclnnKernelMod,kernel_mod_impl/customize/nllloss_grad_aclnn_kernel.cc;kernel_mod_impl/customize/nllloss_grad_aclnn_kernel.h,,
aclnnNanMedian,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnNanMedianDim,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnNanToNum,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,NanToNum,NanToNum,,,,NanToNum,NanToNumAscend,NanToNum,False,NanToNumAscend,kernel_mod_impl/customize/nan_to_num_aclnn_kernel.cc;kernel_mod_impl/customize/nan_to_num_aclnn_kernel.h,,has_custom_dispatch
aclnnNeScalar,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,CountNonZero;NeScalar,CountNonZero;NeScalar,,,,NeScalar,NeScalarAscend,NeScalar,False,CountNonZeroAscend;NeScalarAscend,kernel_mod_impl/customize/count_nonzero_aclnn_kernel.cc;kernel_mod_impl/customize/count_nonzero_aclnn_kernel.h;kernel_mod_impl/customize/ne_scalar_aclnn_kernel.cc;kernel_mod_impl/customize/ne_scalar_aclnn_kernel.h,,shared_by_2_ops;has_custom_dispatch
aclnnNeTensor,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,NotEqual,,,NotEqual,NotEqual,,,,True,,,,
aclnnNeg,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Neg,,,Neg,Neg,,,Neg,False,,,,
aclnnNonMaxSuppression,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnNonzero,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,NonZero,NonZero,,,,NonZero,NonZeroAscend,NonZero,False,NonZeroAscend,kernel_mod_impl/customize/non_zero_aclnn_kernel.cc;kernel_mod_impl/customize/non_zero_aclnn_kernel.h,,has_custom_dispatch
aclnnNonzeroV2,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,InnerNonZero,InnerNonZero,,,,InnerNonZero,InnerNonZeroAscend,,True,InnerNonZeroAscend,kernel_mod_impl/customize/inner_non_zero_aclnn_kernel.cc;kernel_mod_impl/customize/inner_non_zero_aclnn_kernel.h,,has_custom_dispatch
aclnnNorm,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,Norm,Norm,,,,Norm,NormAscend,Norm,False,NormAscend,kernel_mod_impl/customize/norm_aclnn_kernel.cc;kernel_mod_impl/customize/norm_aclnn_kernel.h,,has_custom_dispatch
aclnnNormRopeConcat,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnNormRopeConcatBackward,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnNormalFloatFloat,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,NormalFloatFloat,NormalFloatFloat,,,,NormalFloatFloat,NormalFloatFloatAscend,NormalFloatFloat,False,NormalFloatFloatAscend,kernel_mod_impl/customize/normal_float_float_aclnn_kernel.cc;kernel_mod_impl/customize/normal_float_float_aclnn_kernel.h,,has_custom_dispatch
aclnnNormalFloatTensor,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,NormalFloatTensor,NormalFloatTensor,,,,NormalFloatTensor,NormalFloatTensorAscend,NormalFloatTensor,False,NormalFloatTensorAscend,kernel_mod_impl/customize/normal_float_tensor_aclnn_kernel.cc;kernel_mod_impl/customize/normal_float_tensor_aclnn_kernel.h,,has_custom_dispatch
aclnnNormalTensorFloat,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,NormalTensorFloat,NormalTensorFloat,,,,NormalTensorFloat,NormalTensorFloatAscend,NormalTensorFloat,False,NormalTensorFloatAscend,kernel_mod_impl/customize/normal_tensor_float_aclnn_kernel.cc;kernel_mod_impl/customize/normal_tensor_float_aclnn_kernel.h,,has_custom_dispatch
aclnnNormalTensorTensor,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,NormalTensorTensor,NormalTensorTensor,,,,NormalTensorTensor,NormalTensorTensorAscend,NormalTensorTensor,False,NormalTensorTensorAscend,kernel_mod_impl/customize/normal_tensor_tensor_aclnn_kernel.cc;kernel_mod_impl/customize/normal_tensor_tensor_aclnn_kernel.h,,has_custom_dispatch
aclnnNpuFormatCast,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnNsaCompress,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,NsaCompress,NsaCompress,,,,NsaCompress,NsaCompressAscend,NsaCompress,False,NsaCompressAscend,kernel_mod_impl/customize/nsa_compress_aclnn_kernel.cc;kernel_mod_impl/customize/nsa_compress_aclnn_kernel.h,,has_custom_dispatch
aclnnNsaCompressAttention,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,NsaCompressAttention,NsaCompressAttention,,,,NsaCompressAttention,NsaCompressAttentionAscend,NsaCompressAttention,False,NsaCompressAttentionAscend,kernel_mod_impl/customize/nsa_compress_attention_aclnn_kernel.cc;kernel_mod_impl/customize/nsa_compress_attention_aclnn_kernel.h,,has_custom_dispatch
aclnnNsaCompressAttentionInfer,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnNsaCompressGrad,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,NsaCompressGrad,NsaCompressGrad,,,,NsaCompressGrad,NsaCompressGradAscend,NsaCompressGrad,False,NsaCompressGradAscend,kernel_mod_impl/customize/nsa_compress_grad_aclnn_kernel.cc;kernel_mod_impl/customize/nsa_compress_grad_aclnn_kernel.h,,has_custom_dispatch
aclnnNsaCompressWithCache,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnNsaSelectedAttention,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,NsaSelectAttention,NsaSelectAttention,,,,,,,True,NsaSelectAttentionAscend,kernel_mod_impl/customize/nsa_select_attention_aclnn_kernel.cc;kernel_mod_impl/customize/nsa_select_attention_aclnn_kernel.h,,
aclnnNsaSelectedAttentionGrad,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,NsaSelectAttentionGrad,NsaSelectAttentionGrad,,,,,,,True,NsaSelectAttentionGradAscend,kernel_mod_impl/customize/nsa_select_attention_grad_aclnn_kernel.cc;kernel_mod_impl/customize/nsa_select_attention_grad_aclnn_kernel.h,,
aclnnNsaSelectedAttentionInfer,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnObfuscationCalculate,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnObfuscationCalculateV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnObfuscationSetup,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnObfuscationSetupV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnOneHot,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,OneHotExt,OneHotExt,,,,OneHotExt,OneHotExtAscend,,True,OneHotExtAscend,kernel_mod_impl/customize/one_hot_ext_aclnn_kernel.cc;kernel_mod_impl/customize/one_hot_ext_aclnn_kernel.h,,has_custom_dispatch
aclnnPdist,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnPdistForward,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnPermute,✅,✅,✅,✅,✖️,✅,✅,kernel_mod_src+kernel_mod_gen+pyboost_gen,Dense;TExt;Transpose;TransposeExt;TransposeExtView,Dense;TExt;TransposeExt,,Transpose;TransposeExtView,Transpose;TransposeExtView,,,,True,DenseAclnnKernelMod;TExtAscend;TransposeExtAscend,kernel_mod_impl/customize/dense_aclnn_kernel.cc;kernel_mod_impl/customize/dense_aclnn_kernel.h;kernel_mod_impl/customize/t_ext_aclnn_kernel.cc;kernel_mod_impl/customize/t_ext_aclnn_kernel.h;kernel_mod_impl/customize/transpose_ext_aclnn_kernel.cc;kernel_mod_impl/customize/transpose_ext_aclnn_kernel.h,,shared_by_5_ops
aclnnPolar,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Polar,,,Polar,Polar,,,Polar,False,,,,
aclnnPowScalarTensor,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,PowScalarTensor,PowScalarTensor,,,,PowScalarTensor,PowScalarTensorAscend,PowScalarTensor,False,PowScalarTensorAscend,kernel_mod_impl/customize/pow_scalar_tensor_aclnn_kernel.cc;kernel_mod_impl/customize/pow_scalar_tensor_aclnn_kernel.h,,has_custom_dispatch
aclnnPowTensorScalar,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,PowTensorScalar,PowTensorScalar,,,,PowTensorScalar,PowTensorScalarAscend,PowTensorScalar,False,PowTensorScalarAscend,kernel_mod_impl/customize/pow_tensor_scalar_aclnn_kernel.cc;kernel_mod_impl/customize/pow_tensor_scalar_aclnn_kernel.h,,has_custom_dispatch
aclnnPowTensorTensor,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Pow,,,Pow,Pow,,,,True,,,,
aclnnPrecisionCompare,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnPrelu,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,PReLU,,,PReLU,PReLU,,,PReLU,False,,,,
aclnnPreluBackward,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,PReLUGrad,,,PReLUGrad,PReLUGrad,,,,True,,,,
aclnnProd,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnProdDim,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,ProdExt,ProdExt,,,,,,,True,ProdExtAscend,kernel_mod_impl/customize/prod_ext_aclnn_kernel.cc;kernel_mod_impl/customize/prod_ext_aclnn_kernel.h,,
aclnnPromptFlashAttention,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnPromptFlashAttentionV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnPromptFlashAttentionV3,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,PromptFlashAttention,PromptFlashAttention,,,,PromptFlashAttention,PromptFlashAttentionAscend,,True,PromptFlashAttentionAscend,kernel_mod_impl/customize/prompt_flash_attention_aclnn_kernel.cc;kernel_mod_impl/customize/prompt_flash_attention_aclnn_kernel.h,,has_custom_dispatch
aclnnQr,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnQuantConvolution,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnQuantGroupedMatmulDequant,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnQuantMatmul,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnQuantMatmulAllReduce,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnQuantMatmulAllReduceAddRmsNorm,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnQuantMatmulAllReduceV2,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,QuantBatchMatmulAllReduce,QuantBatchMatmulAllReduce,,,,,,,True,QuantBatchMatmulAllReduceAscend,kernel_mod_impl/customize/quant_batch_matmul_all_reduce_aclnn_kernel.cc;kernel_mod_impl/customize/quant_batch_matmul_all_reduce_aclnn_kernel.h,,
aclnnQuantMatmulAllReduceV3,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnQuantMatmulDequant,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnQuantMatmulReduceSumWeightNz,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnQuantMatmulV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnQuantMatmulV3,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnQuantMatmulV4,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,QuantBatchMatmul,QuantBatchMatmul,,,,,,,True,QuantMatmulV4Ascend,kernel_mod_impl/customize/quant_batch_matmul_aclnn_kernel.cc;kernel_mod_impl/customize/quant_batch_matmul_aclnn_kernel.h,,
aclnnQuantMatmulV5,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnQuantMatmulWeightNz,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnQuantize,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnQuantizedBatchNorm,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnRReluWithNoise,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnRainFusionAttention,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnRandperm,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,RandpermExt,RandpermExt,,,,,,,True,RandpermExtAscend,kernel_mod_impl/customize/randperm_ext_aclnn_kernel.cc;kernel_mod_impl/customize/randperm_ext_aclnn_kernel.h,,
aclnnRange,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnReal,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnReciprocal,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Reciprocal,,,Reciprocal,Reciprocal,,,Reciprocal,False,,,,
aclnnRecurrentGatedDeltaRule,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnReduceLogSum,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnReduceNansum,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,Nansum,Nansum,,,,,,,True,NansumAscend,kernel_mod_impl/customize/nansum_aclnn_kernel.cc;kernel_mod_impl/customize/nansum_aclnn_kernel.h,,
aclnnReduceSum,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,CountNonZero;ReduceSum;SumExt,CountNonZero;ReduceSum;SumExt,,,,,,ReduceSum,False,CountNonZeroAscend;ReduceSumAclnnKernelMod;SumExtAscend,kernel_mod_impl/customize/count_nonzero_aclnn_kernel.cc;kernel_mod_impl/customize/count_nonzero_aclnn_kernel.h;kernel_mod_impl/customize/reduce_sum_aclnn_kernel.cc;kernel_mod_impl/customize/reduce_sum_aclnn_kernel.h;kernel_mod_impl/customize/sum_ext_aclnn_kernel.cc;kernel_mod_impl/customize/sum_ext_aclnn_kernel.h,,shared_by_3_ops
aclnnReflectionPad1d,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,ReflectionPad1D,,,ReflectionPad1D,ReflectionPad1D,,,ReflectionPad1D,False,,,,
aclnnReflectionPad1dBackward,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,ReflectionPad1DGrad,,,ReflectionPad1DGrad,ReflectionPad1DGrad,,,,True,,,,
aclnnReflectionPad2d,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,ReflectionPad2D,,,ReflectionPad2D,ReflectionPad2D,,,ReflectionPad2D,False,,,,
aclnnReflectionPad2dBackward,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,ReflectionPad2DGrad,,,ReflectionPad2DGrad,ReflectionPad2DGrad,,,,True,,,,
aclnnReflectionPad3d,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,ReflectionPad3D,,,ReflectionPad3D,ReflectionPad3D,,,ReflectionPad3D,False,,,,
aclnnReflectionPad3dBackward,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,ReflectionPad3DGrad,,,ReflectionPad3DGrad,ReflectionPad3DGrad,,,,True,,,,
aclnnRelu,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,ReLU,,,ReLU,ReLU,,,ReLU,False,,,,
aclnnRemainderScalarTensor,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,RemainderScalarTensor,,,RemainderScalarTensor,RemainderScalarTensor,,,RemainderScalarTensor,False,,,,
aclnnRemainderTensorScalar,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,RemainderTensorScalar,,,RemainderTensorScalar,RemainderTensorScalar,,,RemainderTensorScalar,False,,,,
aclnnRemainderTensorTensor,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,RemainderTensorTensor,,,RemainderTensorTensor,RemainderTensorTensor,,,RemainderTensorTensor,False,,,,
aclnnRenorm,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnRepeat,✅,✅,✅,✅,✖️,✅,✅,kernel_mod_src+kernel_mod_gen+pyboost_gen+custom_dispatch,Repeat;Tile,Tile,,Repeat,Repeat,Tile,TileAscend,Repeat,False,TileAscend,kernel_mod_impl/customize/tile_aclnn_kernel.cc;kernel_mod_impl/customize/tile_aclnn_kernel.h,,shared_by_2_ops;has_custom_dispatch
aclnnRepeatInterleave,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnRepeatInterleaveInt,✅,✅,✅,✖️,✖️,✖️,✖️,custom_dispatch,,,,,,RepeatInterleaveInt,RepeatInterleaveIntAscend,,False,,,,has_custom_dispatch
aclnnRepeatInterleaveIntWithDim,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,RepeatInterleaveInt,RepeatInterleaveInt,,,,,,,True,RepeatInterleaveIntAscend,kernel_mod_impl/customize/repeat_interleave_int_aclnn_kernel.cc;kernel_mod_impl/customize/repeat_interleave_int_aclnn_kernel.h,,
aclnnRepeatInterleaveTensor,✅,✅,✅,✖️,✖️,✖️,✖️,custom_dispatch,,,,,,RepeatInterleaveTensor,RepeatInterleaveTensorAscend,,False,,,,has_custom_dispatch
aclnnRepeatInterleaveWithDim,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,RepeatInterleaveTensor,RepeatInterleaveTensor,,,,,,,True,RepeatInterleaveTensorAscend,kernel_mod_impl/customize/repeat_interleave_tensor_aclnn_kernel.cc;kernel_mod_impl/customize/repeat_interleave_tensor_aclnn_kernel.h,,
aclnnReplicationPad1d,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,ReplicationPad1D,,,ReplicationPad1D,ReplicationPad1D,,,ReplicationPad1D,False,,,,
aclnnReplicationPad1dBackward,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,ReplicationPad1DGrad,,,ReplicationPad1DGrad,ReplicationPad1DGrad,,,,True,,,,
aclnnReplicationPad2d,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,ReplicationPad2D,,,ReplicationPad2D,ReplicationPad2D,,,ReplicationPad2D,False,,,,
aclnnReplicationPad2dBackward,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,ReplicationPad2DGrad,,,ReplicationPad2DGrad,ReplicationPad2DGrad,,,,True,,,,
aclnnReplicationPad3d,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,ReplicationPad3D,,,ReplicationPad3D,ReplicationPad3D,,,ReplicationPad3D,False,,,,
aclnnReplicationPad3dBackward,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,ReplicationPad3DGrad,,,ReplicationPad3DGrad,ReplicationPad3DGrad,,,,True,,,,
aclnnResize,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnRightShift,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnRingAttentionUpdate,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,RingAttentionUpdate,RingAttentionUpdate,,,,RingAttentionUpdate,RingAttentionUpdateAscend,RingAttentionUpdate,False,RingAttentionUpdateAscend,kernel_mod_impl/customize/ring_attention_update_aclnn_kernel.cc;kernel_mod_impl/customize/ring_attention_update_aclnn_kernel.h,,has_custom_dispatch
aclnnRingAttentionUpdateV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnRmsNorm,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,RmsNorm,RmsNorm,,,,RmsNorm,RmsNormAscend,RmsNorm,False,RmsNormAscend,kernel_mod_impl/customize/rms_norm_aclnn_kernel.cc;kernel_mod_impl/customize/rms_norm_aclnn_kernel.h,,has_custom_dispatch
aclnnRmsNormGrad,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,RmsNormGrad,,,RmsNormGrad,RmsNormGrad,,,RmsNormGrad,False,,,,
aclnnRmsNormQuant,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnRoiAlign,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnRoiAlignV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnRoiAlignV2Backward,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnRoll,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Roll,,,Roll,Roll,,,Roll,False,,,,
aclnnRopeWithSinCosCache,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnRotaryPositionEmbedding,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,RotaryPositionEmbedding,,,RotaryPositionEmbedding,RotaryPositionEmbedding,,,RotaryPositionEmbedding,False,,,,
aclnnRotaryPositionEmbeddingGrad,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,RotaryPositionEmbeddingGrad,RotaryPositionEmbeddingGrad,,,,RotaryPositionEmbeddingGrad,RotaryPositionEmbeddingGradAscend,RotaryPositionEmbeddingGrad,False,RotaryPositionEmbeddingGradAscend,kernel_mod_impl/customize/rotary_position_embedding_grad_aclnn_kernel.cc;kernel_mod_impl/customize/rotary_position_embedding_grad_aclnn_kernel.h,,has_custom_dispatch
aclnnRound,✅,✅,✅,✖️,✖️,✖️,✖️,custom_dispatch,,,,,,Round,RoundAscend,,False,,,,has_custom_dispatch
aclnnRoundDecimals,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,Round,Round,,,,,,,True,RoundAscend,kernel_mod_impl/customize/round_aclnn_kernel.cc;kernel_mod_impl/customize/round_aclnn_kernel.h,,
aclnnRsqrt,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Rsqrt,,,Rsqrt,Rsqrt,,,Rsqrt,False,,,,
aclnnRsub,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnRsubs,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnSWhere,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Select,,,Select,Select,,,,True,,,,
aclnnScale,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnScaledMaskedSoftmax,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnScaledMaskedSoftmaxBackward,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnScatter,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Scatter,,,Scatter,Scatter,,,Scatter,False,,,,
aclnnScatterAdd,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,GatherDGradV2;InplaceScatterAdd;ScatterAddExt,GatherDGradV2;InplaceScatterAdd;ScatterAddExt,,,,GatherDGradV2;InplaceScatterAdd;ScatterAddExt,GatherDGradAscend;InplaceScatterAddAscend;ScatterAddExtAscend,,True,GatherDGradAscend;InplaceScatterAddAclnnKernelMod;ScatterAddExtAscend,kernel_mod_impl/customize/gather_d_grad_v2_aclnn_kernel.cc;kernel_mod_impl/customize/gather_d_grad_v2_aclnn_kernel.h;kernel_mod_impl/customize/inplace_scatter_add_aclnn_kernel.cc;kernel_mod_impl/customize/inplace_scatter_add_aclnn_kernel.h;kernel_mod_impl/customize/scatter_add_ext_aclnn_kernel.cc;kernel_mod_impl/customize/scatter_add_ext_aclnn_kernel.h,,shared_by_3_ops;has_custom_dispatch
aclnnScatterNd,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnScatterNdUpdate,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnScatterPaKvCache,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnScatterValue,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,ScatterValue,,,ScatterValue,ScatterValue,,,ScatterValue,False,,,,
aclnnSearchSorted,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,SearchSorted,SearchSorted,,,,SearchSorted,SearchSortedAscend,SearchSorted,False,SearchsortedAscend,kernel_mod_impl/customize/searchsorted_aclnn_kernel.cc;kernel_mod_impl/customize/searchsorted_aclnn_kernel.h,,has_custom_dispatch
aclnnSearchSorteds,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnSelu,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,SeLUExt,,,SeLUExt,SeLUExt,,,,True,,,,
aclnnSeluBackward,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,SeluGrad,,,SeluGrad,SeluGrad,,,,True,,,,
